map_order,title,first_broadcast_date,protagonist_verified,origin_category,origin_detail,origin_evidence,source,cluster,genre,author,director,url
38,Familienpackung,28.03.1989,Johann Christoph,original radio programme,Original children's short radio play,No Vorlage/translation line; description names Johann Christoph as Hauptdarsteller.,DRA,Autobiographical lives,"Kurzhörspiel, Kinderhörspiel",Gudrun Mebs,Klaus-Dieter Pittrich,https://hoerspiele.dra.de/detailansicht/1374699
39,Aus dem Tagebuch der Anne Frank,12.06.1989,Anne Frank,adaptation,Adapted from The Diary of Anne Frank,Source subtitle: Vorlage: Das Tagebuch der Anne Frank (Prosa); adaptation listed.,DRA,Diaries and self-records,"Hörspielbearbeitung, Kurzhörspiel, Kinderhörspiel",Anne Frank,Detlef Ihnken,https://hoerspiele.dra.de/detailansicht/1374444
40,Der Autor Hartmut Geerken,16.02.1990,Hartmut Geerken,original radio programme,Original author portrait,Description: Porträt des Autors Hartmut Geerken.,DRA,Autobiographical lives,Porträt,Klaus Peter Harmening,Klaus Peter Harmening,https://hoerspiele.dra.de/detailansicht/1374721
41,Jean Anouilh zum 80. Geburtstag: Majestät des Boulevard - Porträt,23.06.1990,Jean Anouilh,original radio programme,Original birthday portrait/documentary,Description says BR's radio drama department honored Anouilh with a special broadcast.,DRA,Portrait catalogue,Porträt,"Thomas Thieringer , Wilfried Geldner",Christoph Lindenmeyer,https://hoerspiele.dra.de/detailansicht/1374736
42,Briefe an Franz Pawell,04.12.1990,Franz Pawell,original radio programme,Original radio play/letter narrative after German reunification,Description centers Franz Pawell coming into the newly unified Germany; no Vorlage/translation line.,DRA,Letters and correspondence,Hörspiel,Adolf Schröder,Gerhard Willert,https://hoerspiele.dra.de/detailansicht/1374916
43,"Pioniere der Radiokunst (9. Folge: ... ""Quer zum Betrieb der Kulturindustrie"")",06.09.1986,Ernst Schoen,original radio programme,Original portrait in the Pioniere der Radiokunst series,Source subtitle: Porträt des Rundfunkpioniers Ernst Schoen.,DRA,Portrait catalogue,Porträt,August Soppe,Johannes Hertel,https://hoerspiele.dra.de/detailansicht/1375730
44,Bodo Katzenbergers Tagebuch,17.05.1986,Bodo Katzenberger,original radio programme,Original diary-based radio play,Description says Bodo writes a diary; no Vorlage/translation line.,DRA,Diaries and self-records,Hörspiel,Marion Mosell,Angeli Backhausen,https://hoerspiele.dra.de/detailansicht/1375816
45,Porträt,10.06.1986,"An unnamed dying man as remembered by wife, daughter, and granddaughter",translation,Translated from American English,Source subtitle: übersetzt aus dem Amerikanischen.,DRA,Portrait catalogue,Hörspiel,Irene Oppenheim,Kaye Mortley,https://hoerspiele.dra.de/detailansicht/1375822
46,Vier Briefe aus Amerika,16.10.1986,Josef Kraus,original radio programme,Original epistolary emigrant story,Description centers Josef Kraus's letters from Colorado/USA; no Vorlage/translation line.,DRA,Letters and correspondence,Hörspiel,Konrad Wühr,Frank Hübner,https://hoerspiele.dra.de/detailansicht/1375861
47,Per Einschreiben,02.08.1987,Elli and Karli,original radio programme,Original letter-based radio play,DRA genre includes Originalhörspiel; description names Elli and Karli.,DRA,Letters and correspondence,"Originalhörspiel, Kurzhörspiel",Eva Maria Mudrich,Tibor von Peterdy,https://hoerspiele.dra.de/detailansicht/1375962
48,Das Tagebuch der Redegonda,27.09.1987,Dr. Gottfried Wehwald and Redegonda,adaptation,Adapted from Arthur Schnitzler's story Das Tagebuch der Redegonda,Source subtitle: Vorlage: Das Tagebuch der Redegonda (Erzählung); Bearbeitung by Hermann Naber.,DRA,Diaries and self-records,"Hörspielbearbeitung, Kurzhörspiel",Arthur Schnitzler,Hermann Naber,https://hoerspiele.dra.de/detailansicht/1376346
49,Walter Ruttmann - der Visionär bewegter Rhythmen,08.05.1987,Walter Ruttmann,original radio programme,Original radio portrait with historical materials,Description: radio portrait of avant-gardist Walter Ruttmann and Weekend.,DRA,Portrait catalogue,Hörspiel,Jeanpaul Goergen,Irene Schuck,https://hoerspiele.dra.de/detailansicht/1375917
50,Das akustische Tagebuch,30.06.1987,Ronald Steckel / his recorded sound archive,original radio programme,Original acoustic diary / sound anthology,Description says the acoustic diary is an anthology of sounds from Steckel's tape work.,DRA,Diaries and self-records,Hörspiel,Ronald Steckel,Ronald Steckel,https://hoerspiele.dra.de/detailansicht/1376147
